INSERT INTO `npc_trainer` (`ID`,`SpellID`,`MoneyCost`,`ReqSkillLine`,`ReqSkillRank`,`ReqLevel`) VALUES 
INSERT INTO `npc_trainer` (`ID`, `SpellID`, `MoneyCost`, `ReqSkillLine`, `ReqSkillRank`, `ReqLevel`) VALUES
(95025, 196, 1000, 0, 0, 0),
(95025, 197, 1000, 0, 0, 0),
(95025, 198, 1000, 0, 0, 0),
(95025, 199, 1000, 0, 0, 0),
(95025, 200, 1000, 0, 0, 20),
(95025, 201, 1000, 0, 0, 0),
(95025, 202, 1000, 0, 0, 0),
(95025, 227, 1000, 0, 0, 0),
(95025, 264, 1000, 0, 0, 0),
(95025, 266, 1000, 0, 0, 0),
(95025, 1180, 1000, 0, 0, 0),
(95025, 2567, 1000, 0, 0, 0),
(95025, 5011, 1000, 0, 0, 0),
(95025, 15590, 1000, 0, 0, 0),
(95025, 0, 0, 0, 0, 0);
